=========================================
2025-10-30 09:16:36 bug id 2 (sanic-1) unittest result: ['Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass']
2025-10-30 09:16:36 bug id 16 (youtube-dl-3) unittest result: ['Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Pass', 'Fail', 'Fail']
2025-10-30 09:16:36 bug id 17 (youtube-dl-12) unittest result: ['Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail']
2025-10-30 09:16:36 bug id 18 (youtube-dl-13) unittest result: ['Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail']
2025-10-30 09:16:36 bug id 19 (youtube-dl-15) unittest result: ['Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail']
2025-10-30 09:16:36 bug id 20 (youtube-dl-18) unittest result: ['Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail']
2025-10-30 09:16:36 bug id 21 (youtube-dl-26) unittest result: ['Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail']
2025-10-30 09:16:36 bug id 22 (youtube-dl-43) unittest result: ['Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass']
2025-10-30 09:16:36 bug id 23 (ansible-5) unittest result: ['Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass']
2025-10-30 09:16:36 bug id 24 (ansible-15) unittest result: ['Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass']
2025-10-30 09:16:36 bug id 25 (scrapy-4) unittest result: ['Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass']
2025-10-30 09:16:36 bug id 26 (scrapy-20) unittest result: ['Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass']
2025-10-30 09:16:36 bug id 27 (scrapy-29) unittest result: ['Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass']
2025-10-30 09:16:36 bug id 28 (scrapy-37) unittest result: ['Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass']
2025-10-30 09:16:36 bug id 29 (pandas-1) unittest result: ['Pass', 'Pass', 'Pass', 'Pass', 'Fail', 'Fail', 'Pass', 'Fail', 'Fail', 'Pass']
