=========================================
2025-10-31 10:11:29 bug id 1 (Chart-1) unittest result: ['Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail']
2025-10-31 10:11:29 bug id 2 (Chart-8) unittest result: ['Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail']
2025-10-31 10:11:29 bug id 3 (Chart-9) unittest result: ['Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail']
2025-10-31 10:11:29 bug id 4 (Chart-10) unittest result: ['Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail']
2025-10-31 10:11:29 bug id 5 (Chart-12) unittest result: ['Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail']
2025-10-31 10:11:29 bug id 6 (Chart-13) unittest result: ['Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail']
2025-10-31 10:11:29 bug id 7 (Chart-20) unittest result: ['Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail']
2025-10-31 10:11:29 bug id 8 (Chart-24) unittest result: ['Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail']
2025-10-31 10:11:29 bug id 9 (Cli-8) unittest result: ['Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail']
2025-10-31 10:11:29 bug id 10 (Cli-11) unittest result: ['Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail']
2025-10-31 10:11:29 bug id 11 (Cli-25) unittest result: ['Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Fail', 'Error: test execution', 'Fail', 'Fail']
